"SchoolYear","Column1","ESD","County","CountyDistrictNumber","District","GradeTested","EthnicityGender","WAASReadingTotalTestedNotTested","WAASReadingTotalTested","WAASReadingMetStandard","WAASReadingPercentMetStandard","WAASReadingPercentMetStandardExcludingNoScore","WAASReadingLevel1","WAASReadingPercentLevel1","WAASReadingLevel2","WAASReadingPercentLevel2","WAASReadingLevel3","WAASReadingPercentLevel3","WAASReadingLevel4","WAASReadingPercentLevel4","WAASReadingNoScore","WAASReadingPercentNoScore","WAASReadingNotMet","WAASReadingPercentNotMet","WAASReadingWAAS","WAASReadingPercentWAAS","WAASMathTotalTestedNotTested","WAASMathTotalTested","WAASMathMetStandard","WAASMathPercentMetStandard","WAASMathPercentMetStandardExcludingNoScore","WAASMathLevel1","WAASMathPercentLevel1","WAASMathLevel2","WAASMathPercentLevel2","WAASMathLevel3","WAASMathPercentLevel3","WAASMathLevel4","WAASMathPercentLevel4","WAASMathNoScore","WAASMathPercentNoScore","WAASMathNotMet","WAASMathPercentNotMet","WAASMathWAAS","WAASMathPercentWAAS","WAASWritingTotalTestedNotTested","WAASWritingTotalTested","WAASWritingMetStandard","WAASWritingPercentMetStandard","WAASWritingPercentMetStandardExcludingNoScore","WAASWritingLevel1","WAASWritingPercentLevel1","WAASWritingLevel2","WAASWritingPercentLevel2","WAASWritingLevel3","WAASWritingPercentLevel3","WAASWritingLevel4","WAASWritingPercentLevel4","WAASWritingNoScore","WAASWritingPercentNoScore","WAASWritingNotMet","WAASWritingPercentNotMet","WAASWritingWAAS","WAASWritingPercentWAAS","WAASScienceTotalTestedNotTested","WAASScienceTotalTested","WAASScienceMetStandard","WAASSciencePercentMetStandard","WAASSciencePercentMetStandardExcludingNoScore","WAASScienceLevel1","WAASSciencePercentLevel1","WAASScienceLevel2","WAASSciencePercentLevel2","WAASScienceLevel3","WAASSciencePercentLevel3","WAASScienceLevel4","WAASSciencePercentLevel4","WAASScienceNoScore","WAASSciencePercentNoScore","WAASScienceNotMet","WAASSciencePercentNotMet","WAASScienceWAAS","WAASSciencePercentWAAS"
"2012-13",118,"Puget Sound Educational Service District 121","King","17417","Northshore School District",7,"ALL",16,15,14,87.5,93.3,1,6.2,0,0,3,18.69,11,68.7,1,6.2,2,12.5,,0,16,15,13,81.2,86.7,2,12.5,0,0,4,25,9,56.2,1,6.2,3,18.69,,0,16,15,12,75,80,0,0,3,18.69,2,12.5,10,62.5,1,6.2,4,25,,0,,0,,,,,,,,,,,,,,,,,
"2012-13",118,"Puget Sound Educational Service District 121","King","17417","Northshore School District",8,"ALL",7,0,,,,,,,,,,,,,,,,,0,7,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,7,0,,,,,,,,,,,,,,,,,0
"2012-13",118,"Puget Sound Educational Service District 121","King","17417","Northshore School District",10,"ALL",9,0,,,,,,,,,,,,,,,,,0,9,0,,,,,,,,,,,,,,,,,0,9,0,,,,,,,,,,,,,,,,,0,9,0,,,,,,,,,,,,,,,,,0
"2012-13",92,"Northwest Educational Service District 189","Island","15201","Oak Harbor School District",3,"ALL",5,0,,,,,,,,,,,,,,,,,0,5,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",92,"Northwest Educational Service District 189","Island","15201","Oak Harbor School District",4,"ALL",8,0,,,,,,,,,,,,,,,,,0,8,0,,,,,,,,,,,,,,,,,0,8,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,
"2012-13",92,"Northwest Educational Service District 189","Island","15201","Oak Harbor School District",5,"ALL",10,0,,,,,,,,,,,,,,,,,0,10,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,0
"2012-13",92,"Northwest Educational Service District 189","Island","15201","Oak Harbor School District",6,"ALL",7,0,,,,,,,,,,,,,,,,,0,7,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",92,"Northwest Educational Service District 189","Island","15201","Oak Harbor School District",7,"ALL",3,0,,,,,,,,,,,,,,,,,0,3,0,,,,,,,,,,,,,,,,,0,3,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,
"2012-13",92,"Northwest Educational Service District 189","Island","15201","Oak Harbor School District",8,"ALL",5,0,,,,,,,,,,,,,,,,,0,5,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,0
"2012-13",92,"Northwest Educational Service District 189","Island","15201","Oak Harbor School District",10,"ALL",,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",291,"Educational Service District 101","Whitman","38324","Oakesdale School District",3,"ALL",,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",291,"Educational Service District 101","Whitman","38324","Oakesdale School District",4,"ALL",,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",291,"Educational Service District 101","Whitman","38324","Oakesdale School District",5,"ALL",,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",291,"Educational Service District 101","Whitman","38324","Oakesdale School District",6,"ALL",,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
