district,school.year,total.revenue,total.revenue.per.pupil,local.revenue.per.pupil,local.percent.total.revenue,state.revenue.per.pupil,state.percent.total.revenue,federal.revenue.per.pupil,federal.percent.total.revenue,other.revenue.per.pupil,other.percent.total.revenue
Mount Pleasant School District,2012-13,544364,13164.79,2668.07,20.3,7954.81,60.4,2531.99,19.2,9.93,0.1
Mount Vernon School District,2012-13,65049056,10307.01,2145.15,20.8,7012.15,68,1115.03,10.8,34.68,0.3
Mukilteo School District,2012-13,143472359,9670.78,2575.76,26.6,6366.07,65.8,707.61,7.3,21.34,0.2
Naches Valley School District,2012-13,12546177,9373.10,2178.79,23.2,6531.14,69.7,663.17,7.1,0.00,-
Napavine School District,2012-13,6783146,8909.72,1232.53,13.8,6870.50,77.1,747.53,8.4,59.15,0.7
Naselle-Grays River Valley School District,2012-13,6088841,11311.24,1723.64,15.2,8937.31,79,650.30,5.7,0.00,-
Nespelem School District,2012-13,3180730,21380.18,368.20,1.7,8983.32,42,11896.69,55.6,131.97,0.6
Newport School District,2012-13,11121681,10082.48,1529.96,15.2,7077.10,70.2,1464.60,14.5,10.82,0.1
Nine Mile Falls School District,2012-13,13927081,9293.21,2071.59,22.3,6730.20,72.4,488.79,5.3,2.63,0
Nooksack Valley School District,2012-13,16308889,10728.90,2252.69,21,6862.95,64,1118.85,10.4,494.40,4.6
North Beach School District,2012-13,6659052,10337.57,2769.39,26.8,6485.43,62.7,1055.34,10.2,27.42,0.3
North Franklin School District,2012-13,20306602,9827.33,1011.76,10.3,7603.94,77.4,1210.98,12.3,0.64,0
North Kitsap School District,2012-13,61092448,9896.57,2664.26,26.9,6336.87,64,887.14,9,8.32,0.1
North Mason School District,2012-13,19532937,9428.73,2026.13,21.5,6513.55,69.1,806.53,8.6,82.53,0.9
North River School District,2012-13,1548305,28471.96,222.14,0.8,27205.20,95.6,963.50,3.4,81.12,0.3
North Thurston Public Schools,2012-13,130290203,9306.58,2435.42,26.2,6166.84,66.3,695.34,7.5,8.98,0.1
Northport School District,2012-13,3135025,10819.39,988.37,9.1,8703.77,80.4,1093.37,10.1,33.87,0.3
Northshore School District,2012-13,188156643,9632.82,2870.12,29.8,6152.20,63.9,474.70,4.9,135.80,1.4
Oak Harbor School District,2012-13,48062550,9061.16,944.94,10.4,6235.81,68.8,1828.09,20.2,52.31,0.6
Oakesdale School District,2012-13,2410781,23076.30,4333.36,18.8,17768.62,77,972.40,4.2,1.92,0
Oakville School District,2012-13,4088159,15344.79,1679.59,10.9,9345.23,60.9,4242.00,27.6,77.97,0.5
Ocean Beach School District,2012-13,10751324,11897.53,3127.73,26.3,7424.60,62.4,832.72,7,512.48,4.3
Ocosta School District,2012-13,7475991,11862.70,3291.40,27.7,6967.64,58.7,1537.33,13,66.33,0.6
Odessa School District,2012-13,3281708,16929.11,3912.69,23.1,11937.39,70.5,1051.62,6.2,27.40,0.2
Okanogan School District,2012-13,10853053,10576.07,1131.67,10.7,7786.73,73.6,1579.18,14.9,78.48,0.7
Olympia School District,2012-13,85984221,9523.42,2693.79,28.3,6089.42,63.9,619.91,6.5,120.30,1.3
Omak School District,2012-13,31473345,6954.37,501.66,7.2,5841.15,84,610.98,8.8,0.58,0
Onalaska School District,2012-13,7765121,10606.78,1604.47,15.1,7045.20,66.4,1957.11,18.5,0.00,-
Onion Creek School District,2012-13,928125,26980.39,2150.93,8,21696.02,80.4,3078.56,11.4,54.88,0.2
Orcas Island School District,2012-13,7401049,9349.95,2616.61,28,5979.14,63.9,557.56,6,196.65,2.1
Orchard Prairie School District,2012-13,796556,10378.58,1505.56,14.5,7685.90,74.1,1143.94,11,43.18,0.4
Orient School District,2012-13,1648176,9214.89,75.85,0.8,7601.71,82.5,1537.33,16.7,0.00,-
Orondo School District,2012-13,3094048,17217.85,4336.47,25.2,8570.53,49.8,2331.20,13.5,1979.65,11.5
Oroville School District,2012-13,6846256,10802.26,2592.54,24,6901.43,63.9,1308.29,12.1,0.00,-
Orting School District,2012-13,20381514,8947.38,1918.39,21.4,6401.83,71.5,603.93,6.7,23.23,0.3
