"SchoolYear","ESD","CountyNumber","County","CountyDistrictNumber","District","GradeTested","ReadingTotalTestedNotTested","ReadingTotalMSP_HSPETested","ReadingMetStandardIncludingPrevPass","ReadingPercentMetStandardIncludingPrevPass","ReadingMetStandardWithoutPrevPass","ReadingPercentMetStandardWithoutPrevPass","ReadingPercentMetStandardExcludingNoScore","ReadingLevel1","ReadingPercentLevel1","ReadingLevel2","ReadingPercentLevel2","ReadingLevelBasic","ReadingPercentLevelBasic","ReadingLevel3","ReadingPercentLevel3","ReadingLevel4","ReadingPercentLevel4","ReadingNoScore","ReadingPercentNoScore","ReadingNotMet","ReadingPercentNotMet","ReadingExcusedAbsence","ReadingExempted","ReadingWAASPORT","ReadingWAASDAPE","MathTotalTestedNotTested","MathTotalMSP_HSPETested","MathMetStandardIncludingPrevPass","MathPercentMetStandardIncludingPrevPass","MathMetStandardWithoutPrevPass","MathPercentMetStandardWithoutPrevPass","MathPercentMetStandardExcludingNoScore","MathLevel1","MathPercentLevel1","MathLevel2","MathPercentLevel2","MathLevelBasic","MathPercentLevelBasic","MathLevel3","MathPercentLevel3","MathLevel4","MathPercentLevel4","MathNoScore","MathPercentNoScore","MathNotMet","MathPercentNotMet","MathExcusedAbsence","MathExempted","MathWAASPORT","MathWAASDAPE","WritingTotalTestedNotTested","WritingTotalMSP_HSPETested","WritingMetStandardIncludingPrevPass","WritingPercentMetStandardIncludingPrevPass","WritingMetStandardWithoutPrevPass","WritingPercentMetStandardWithoutPrevPass","WritingPercentMetStandardExcludingNoScore","WritingLevel1","WritingPercentLevel1","WritingLevel2","WritingPercentLevel2","WritingLevelBasic","WritingPercentLevelBasic","WritingLevel3","WritingPercentLevel3","WritingLevel4","WritingPercentLevel4","WritingNoScore","WritingPercentNoScore","WritingNotMet","WritingPercentNotMet","WritingExcusedAbsence","WritingExempted","WritingWAASPORT","WritingWAASDAPE","ScienceTotalTestedNotTested","ScienceTotalMSP_HSPETested","ScienceMetStandardIncludingPrevPass","SciencePercentMetStandardIncludingPrevPass","ScienceMetStandardWithoutPrevPass","SciencePercentMetStandardWithoutPrevPass","SciencePercentMetStandardExcludingNoScore","ScienceLevel1","SciencePercentLevel1","ScienceLevel2","SciencePercentLevel2","ScienceLevelBasic","SciencePercentLevelBasic","ScienceLevel3","SciencePercentLevel3","ScienceLevel4","SciencePercentLevel4","ScienceNoScore","SciencePercentNoScore","ScienceNotMet","SciencePercentNotMet","ScienceExcusedAbsence","ScienceExempted","ScienceWAASPORT","ScienceWAASDAPE","ReadingLevelIndex","MathLevelIndex"
"2012-13","Educational Service District 101","01","Adams","01158","Lind School District",7,16,16,10,62.5,10,62.5,62.5,1,6.2,5,31.19,0,0,6,37.5,4,25,0,0,6,37.5,0,0,,,16,16,9,56.2,9,56.2,56.3,4,25,3,18.69,0,0,7,43.7,2,12.5,0,0,7,43.7,0,0,,,16,16,10,62.5,10,62.5,62.5,2,12.5,4,25,0,0,8,50,2,12.5,0,0,6,37.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",2.81,2.43
"2012-13","Educational Service District 101","01","Adams","01158","Lind School District",8,17,17,5,29.39,5,29.39,29.4,8,47,4,23.5,0,0,3,17.6,2,11.69,0,0,12,70.5,0,2,,,17,17,3,17.6,3,17.6,17.6,9,52.89,5,29.39,0,0,3,17.6,0,0,0,0,14,82.29,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,5,29.39,5,29.39,29.4,4,23.5,8,47,0,0,4,23.5,1,5.79,0,0,12,70.5,0,2,,"NA",1.94,1.64
"2012-13","Educational Service District 101","01","Adams","01158","Lind School District",10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",,
"2012-13","Educational Service District 101","01","Adams","01160","Ritzville School District",3,18,18,16,88.79,16,88.79,88.9,1,5.5,1,5.5,0,0,5,27.69,11,61.1,0,0,2,11.09,0,0,,,18,18,14,77.7,14,77.7,77.8,1,5.5,3,16.6,0,0,6,33.29,8,44.39,0,0,4,22.19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",3.44,3.16
"2012-13","Educational Service District 101","01","Adams","01160","Ritzville School District",4,18,17,12,66.59,12,66.59,70.6,0,0,5,27.69,0,0,8,44.39,4,22.19,1,5.5,6,33.29,0,1,,,18,18,10,55.5,10,55.5,55.6,5,27.69,3,16.6,0,0,4,22.19,6,33.29,0,0,8,44.39,0,1,,,18,18,11,61.1,11,61.1,61.1,2,11.09,5,27.69,0,0,9,50,2,11.09,0,0,7,38.79,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",2.77,2.61
"2012-13","Educational Service District 101","01","Adams","01160","Ritzville School District",5,33,32,21,63.6,21,63.6,65.6,1,3,10,30.3,1,3,10,30.3,10,30.3,1,3,12,36.29,0,0,,,33,31,18,54.5,18,54.5,58.1,1,3,12,36.29,1,3,6,18.1,11,33.29,2,6,15,45.39,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,32,17,51.5,17,51.5,53.1,5,15.09,10,30.3,0,0,6,18.1,11,33.29,1,3,16,48.39,0,0,,"NA",2.76,2.63
"2012-13","Educational Service District 101","01","Adams","01160","Ritzville School District",6,27,24,13,48.1,13,48.1,54.2,3,11.09,8,29.6,0,0,11,40.7,2,7.4,3,11.09,14,51.79,0,0,,,27,24,7,25.89,7,25.89,29.2,8,29.6,9,33.29,0,0,5,18.5,2,7.4,3,11.09,20,74,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",2.22,1.81
"2012-13","Educational Service District 101","01","Adams","01160","Ritzville School District",7,35,33,20,57.1,20,57.1,60.6,0,0,13,37.1,0,0,11,31.39,9,25.69,2,5.7,15,42.79,0,0,,,35,33,15,42.79,15,42.79,45.5,9,25.69,9,25.69,0,0,9,25.69,6,17.1,2,5.7,20,57.1,0,0,,,35,32,22,62.79,22,62.79,68.8,2,5.7,8,22.8,0,0,15,42.79,7,20,3,8.5,13,37.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",2.71,2.23
"2012-13","Educational Service District 101","01","Adams","01160","Ritzville School District",8,18,18,7,38.79,7,38.79,38.9,4,22.19,7,38.79,0,0,2,11.09,5,27.69,0,0,11,61.1,0,1,,,18,18,5,27.69,5,27.69,27.8,5,27.69,8,44.39,0,0,4,22.19,1,5.5,0,0,13,72.2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,10,55.5,10,55.5,55.6,2,11.09,6,33.29,1,5.5,6,33.29,3,16.6,0,0,8,44.39,0,1,,"NA",2.44,2.05
"2012-13","Educational Service District 101","01","Adams","01160","Ritzville School District",10,28,27,25,89.2,25,89.2,92.6,0,0,2,7.09,0,0,7,25,18,64.2,1,3.5,3,10.69,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,27,22,75.8,22,75.79,81.5,1,3.39,4,13.69,1,3.39,16,55.1,5,17.19,2,6.79,7,24.1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",3.46,
